,0,1,2
0,0.0,0.2852168243709776,0
1,1380.0,0.22855909930388024,0
2,1800.0,0.16202203057209488,0
3,1800.0,0.10789621762188048,0
4,1380.0,0.07572781359217884,0
5,1260.0,0.05308118823489449,0
6,300.0,0.04855552612396724,0
7,0.0,0.04855552612396724,0
8,480.0,0.041951473908056265,0
9,540.0,0.035400725602385504,0
10,180.0,0.033411112932482064,0
11,960.0,0.0242843718964854,0
12,360.0,0.021447408987404847,0
13,1080.0,0.014554734632055063,0
14,780.0,0.010847414553779213,0
15,1560.0,0.0058167358949298385,0
16,60.0,0.00567365205392386,0
17,1560.0,0.002897636809807389,0
18,1200.0,0.0016737658155877705,0
19,1560.0,0.0007866931630273651,0
20,600.0,0.0005811194596640985,0
21,900.0,0.00036416701548485617,0
22,540.0,0.00027306403992465717,0
23,1560.0,0.00011516662091393328,0
24,540.0,8.448708709699119e-05,0
25,1080.0,4.4708391229888376e-05,0
26,1500.0,1.7794578747370855e-05,0
27,780.0,1.083392094852385e-05,0
28,1740.0,3.43307494897136e-06,0
29,900.0,1.851715665619912e-06,0
30,1200.0,7.93487129228448e-07,0
31,660.0,4.92015507963994e-07,0
32,1320.0,1.8446278507926806e-07,0
33,1620.0,9.826315866712325e-10,0
34,720.0,1.8416967981363974e-09,0
35,180.0,2.1515250212680353e-09,0
36,600.0,3.5965017076588527e-09,0
37,600.0,5.970328212814859e-09,0
38,1500.0,2.056356155389252e-08,0
39,1260.0,5.619471628774661e-08,0
40,540.0,8.565190671676661e-08,0
41,1020.0,1.8698939479389005e-07,0
42,1140.0,4.3699269829441996e-07,0
43,480.0,6.200704824285299e-07,0
44,1140.0,1.398384242003463e-06,0
45,1440.0,3.7687151107275183e-06,0
46,1800.0,1.2301915196200175e-05,0
47,480.0,1.6687695040829047e-05,0
48,1140.0,3.3819454277950105e-05,0
49,720.0,5.215627710752243e-05,0
50,660.0,7.690473570578305e-05,0
51,1380.0,0.00016857193896433276,0
52,960.0,0.0002847581928323313,0
53,1440.0,0.0006046947028429004,0
54,1140.0,0.001066936379493367,0
55,1740.0,0.0024184699664531253,0
56,1620.0,0.004916226894594145,0
57,1140.0,0.007857008439126656,0
58,480.0,0.009500292569768023,0
59,780.0,0.012812970928478865,0
60,660.0,0.016352911064991798,0
61,960.0,0.022971154154706973,0
62,480.0,0.027044651562395414,0
63,1500.0,0.04377223351229776,0
64,540.0,0.0515070364422516,0
65,960.0,0.06783696936240716,0
66,840.0,0.08507126028981102,0
67,1320.0,0.1181236925239334,0
68,1140.0,0.1526528432501292,0
69,1620.0,0.21049198890714046,0
70,180.0,0.21746121474518051,0
71,1560.0,0.28093928185350103,0
72,120.0,0.28597245975395325,0
73,1500.0,0.3487724895328701,0
74,1320.0,0.4007021680497957,0
75,720.0,0.4261366608536578,0
76,1080.0,0.4586661461375325,0
77,1200.0,0.4847677048715274,0
78,420.0,0.4910170464192253,0
79,1800.0,0.4991132438646225,0
80,1440.0,0.48343474643611,0
81,1080.0,0.4597711404648126,0
82,1380.0,0.4173216707741882,0
83,1080.0,0.3770658411547603,0
84,1380.0,0.3205576637529408,0
85,660.0,0.2927815481876587,0
86,900.0,0.2552622236804818,0
87,300.0,0.2430111475967789,0
88,1560.0,0.18297769526526766,0
89,240.0,0.17443371577223174,0
90,780.0,0.14818448408772095,0
91,900.0,0.12098875349443372,0
92,1620.0,0.08074966754059608,0
93,480.0,0.07093940537111937,0
94,1560.0,0.0451579500385185,0
95,360.0,0.040417809280865184,0
96,1200.0,0.027427939352951618,0
97,360.0,0.0242843718964854,0
98,1080.0,0.01660403123922411,0
99,240.0,0.015212292908114685,0
